"Product Name","Price_TND","Rating","Review count","Review","Category"
"IBOOLO  Handheld 10x  Dermatoscope With CE Certified","  694,606","4.8","4","""good service""","surgical"
"Orthopedic Instruments Surgical Alps Mini 1.6 1.1mm Pet Animal Veterinary Orthopedic  Implant Locking Plate Surgical Instrument Surgery Kit Tool Vet","","5.0","17","""Fast service""","surgical"
"Portable Diathermy Machine  High Frequency Electrosurgical Cutter Cautery Unit","  3157,300","4.9","18","""Good service""","surgical"
"probe reduction forceps surgical basic instrument  tool","  15,787","5.0","1","""convenient shipping""","surgical"
"Surgical Instruments Hot Sale Surgical Electrosurgical Disposable Esu Pencil Supplier","  0,3158","4.9","10","""Fantastic service""","surgical"
"Multi-purpose  Diagnostic Set  Applications Otoscope Ophthalmoscope Diagnostic","  126,292","4.7","2","""good supplier""","surgical"
"suppliers disposable surgical 55w skin stapler acos skin stapler automatic skin stapler","  5,052","4.8","1","","surgical"
"Disposable    Skin Stapler 35w Surgical Staples","  4,894","4.4","8","","surgical"
"Multi-purpose  Diagnostic Set  Applications Otoscope Ophthalmoscope Diagnostic","  126,292","5.0","1","","surgical"
"male circumcision stapler visual disposable circumcision","  59,989","5.0","1","","surgical"
"90W   Urology Surgical Instruments Ureter Stricture Vaginal Treatment  Holmium Laser Prostate","  91561,700","5.0","9","""Excellent service""","surgical"
"PUSM surgical instruments Retractor","  63,146","4.4","5","","surgical"
"veterinary   High Frequency unit  High Frequency unit","  1736,515","4.9","8","""Excellent service""","surgical"
"CL40E co2 laser surgical  equipment ENT disease treatment","  78932,500","4.9","3","""nice service""","surgical"
"Laparoscopic Simulator /trainer Box For  Students Training Instruments","  236,798","5.0","4","","surgical"
"surgical Elastomeric ring Rubber Band anal hemorrhoid ligation  for Hemorrhoids treatment surgery","  31,573","4.7","10","""GREAT service""","surgical"
"2022 Full HD endoscopy camera with screen endoscope cameras    Laparoscopy urology surgery equipment","  6314,600","5.0","2","","surgical"
"lipo laser lipolysis Equipment Body Shaping Laser  with  CE 980nm diode laser","  18943,800","4.9","6","""fast process""","surgical"
"Multi-purpose  Diagnostic Set  Applications Otoscope Ophthalmoscope Diagnostic","  126,292","4.6","6","""nice service""","surgical"
"iris scissor General surgery scissor orthopedic instruments dental tools   House of general surgery","  2,526","","0","","surgical"
"Quality Reliable and with nice performance    Endoscope Disposable Video Laryngoscope for Adult VLS-IL","  944,033","4.2","8","""fast delivery""","surgical"
"ICU Anesthesia    Portable Electronic Digital Diagnostic video Laryngoscope","  3157,300","","0","""excellent service""","surgical"
"DP-GE50    smoke evacuator","  2683,705","4.6","7","""amazing service""","surgical"
"Obstetrical Forceps Surgical and Gynecology   Instruments  Manufacturer","  9,441","","","","surgical"
"Wholesale Price Cusco Vaginal Speculum Gynecology    Cusco Speculum","  9,472","","","","surgical"
"Hot Sale Factory High Quality   PPH TST Hemorrhoid Stapler Anastomosis","  94,719","","","","surgical"
"DTS-3000 easy checking and cleaning    upgraded version reliable safety products","  11997,740","","","","surgical"
"Otoscope   Custom Color Mini Fiber Optic Otoscope For Ear Eye Throat Diagnostic","  28,416","","","","surgical"
"Supply Disposable Circumcision Stapler Male Circumcision","  47,991","5.0","1","","surgical"
"Free Design Japanese    Piercing Oem Parts Surgical Micro Forceps","  4,736","","","","surgical"
"Surgical Instruments Cyclodialysis Spatula at Lowest Price    Cyclodialysis Spatula","  21,470","","","","surgical"
"ENT Instruments Mini Otoscope Fiber Optic   For  Diagnostic Examination","  15,755","","","","surgical"
"YD-335A Commercial  Equipment Clinical Analysis Instrument Semi Automatic Rotary Microtome","  5367,410","5.0","2","","analysis"
"Medicla  ESD-KWB5 Medicla Hospital Lab Clinic  WBC Leukocyte Analysis Blood Analysis System Portable Wbc White Blood Cell Analyzer","  1941,740","","","","analysis"
"Simple Innovative Products Efficient Performance Commercial   Automated Blood Coagulation Analyzer","  2178,537","","","","analysis"
"Manufacturer  Pcr Test Price Real Time Pcr Machine For Sale","","","","","analysis"
"Affordable Analyzer CE Certified Portable Semi-auto  Electrolyte Analyzer Provider","  2841,570","","","","analysis"
"Lab Equipment Real Time PCR Clinical Analytical Instruments QPCR Price","  44202,200","","","","analysis"
"China Made 7 In 1  Blood Testing Dry Biochemical Blood Lipid Hemoglobin Analysis Meter","  649,457","4.9","5","","analysis"
"Body Health Monitor Automatic Digital   Used Analyzer17d NLS","","4.9","36","""Excellent Service""","analysis"
"DYMIND DH26 Hematology Analyzer    3 Part CBC Hematology Analyzer blood testing equipments","  7258,633","","","","analysis"
"China  Hitachi Automatic  Analysis  Vertical Auto Chemistry Analyzer","  19890,990","4.6","22","""good service""","analysis"
"CMS6600B Four-channel electromygram EEG EP system  electromyography emg  equipment","  6721,892","4.7","26","""good service""","analysis"
"Vivo light Portable Vein Finder Vein Viewer Clinical Analytical Instruments","  944,033","4.3","10","""fast delivery""","analysis"
"handheld  vein viewer /vein detector price","  944,033","5.0","7","""Fast delivery""","analysis"
"Handheld CE  Infrared Vein Finder","  6516,668","5.0","16","""good supplier""","analysis"
"Roundfin rd-315 Clinical Analytical Instruments    rotary hand price manual freezing tiuuse microtome","  8524,710","4.9","46","""good supplier""","analysis"
"Lansionbio Analyzer Diagnostic Immunoassay Quantitative Analyzer  POCT   LS-4000","  3157,300","2.9","2","""customer service""","analysis"
"High Precision Veterinary Hematology Analyzer Pet Clinical Analytical Instrument  GM-HR800C","  6630,330","4.9","11","""great service""","analysis"
"handheld  vein viewer /vein detector price","  2525,840","5.0","2","""fast delivery""","analysis"
"BPM-U300    Sediment Price Albumin Creatinine Urine Chemistry Analyzer","  1578,650","4.6","26","""Wonderful service""","analysis"
"Grade quantum magnetic resonance quantum therapy analyzer","  151,551","4.8","30","""Good service""","analysis"
"Supplies   Red Light LED Veinfinder Infrared Vein Finder","  56,832","4.6","8","""good service""","analysis"
"equipment  9D-NLS health care supplies Manufacturer","","4.7","97","""customer service""","analysis"
"Manufacturer Portable Handheld  Vein Viewer  Vein Detector","  1578,650","4.7","10","""Great customer service""","analysis"
"physical therapy equipments Biophilia intruder oximeters pulse","  4420,220","4.8","7","""great service""","analysis"
"BIOSTELLAR Hospital Visual Vein Finder Use In Hospital And Help Nurse Inject For Patient Vein Locator","  66,304","4.8","6","","analysis"
"Sysmex Automatic xs-1000i Blood Cell Analyzer Clinical Instruments","  18943,800","","","","analysis"
"portable electromyogram EMG EP machine emg  price with nerve and muscle stimulator","  5998,870","4.7","83","""Super Service""","analysis"
"pediatric Blood Vessel Locator  and displaying vein map directly on skin","  5209,545","","","","analysis"
"2021 Best  Instruments Vein Finder    Portable Infrared Vein Finder","  221,011","","","","analysis"
"SY-G090T Portable Infrared Vein Viewer Vein Finder","  625,146","4.7","22","","analysis"
"Hot Sale  CE Infrared Vein Finder 7 Colors Available Portable Vein Finder","  2999,435","4.6","14","""excellent service""","analysis"
"Vidas Reagents - Biomerieux reagents Top Brand Clinical Analytical Instruments -","  31,573","","","","analysis"
"Factory Manufacture    Automatic Nucleic Acid Extractor","  17365,150","","","","analysis"
"Infrared Handheld Finger Vein Scanner, Arm Vein Finder   , Hospital","  6156,735","5.0","10","""nice service""","analysis"
"New!   Height Weight Health Checkup Full Body Diagnosis Test","  11366,280","4.2","10","""great company""","analysis"
"blood vessel finder  with CE certificate","  631,460","","","","analysis"
"BIOBASE China Hot Sale Vein Finder BKVD-1201M Body Venipuncture  in stock LCD Display for clinical and","  4735,950","4.3","2","","analysis"
"Infrared Vein Finder Detector Vein Imaging  Compact","  86,826","4.9","8","""Fast Delivery""","analysis"
"Portable Mslvt30  Equipment Vein Viewer Infrared Vein Finder","  2102,762","4.7","14","""quick delivery""","analysis"
"Getein 1160 POCT OEM Portable Multiple Channels Immunoassay Analyzer    Clinical Analytical Instrument","  2525,840","5.0","1","","analysis"
"Handheld iv  vein artery finder red light infrared vein finder /detector/viwer/system/machine","  3157,300","4.8","10","""good service""","analysis"
"BIOBASE CHINA Portable Infrared Vein Finder Vein Imaging  for  injection","  3473,030","5.0","8","""arrived on time""","analysis"
"Cheaper Price Vein Finder Handheld For School Lab  Vein Imaging System Doctors Nurses Vein Viewer Illumination","  4613,447","5.0","5","""good service""","analysis"
"Portable   Vein Finder Portable Adult Transilluminator Rechargeable Vein Finder Vein Detector","  56,832","4.4","21","""fast shipping""","analysis"
"Hot-selling  Equipment Visual Display Body Facial Vein Finder Hospital  For Hospital Use","  2522,683","4.7","18","""Excellent service""","analysis"
"China Factory Direct Portable Vein Finder / Portable Infrared Vein Finder","","4.6","15","""Excellent service""","analysis"
"Portable Automatic Urine Test Strips Analyzer for Hospital CK-60 Health Clinical  Laboratory Diagnostic Chemistry","  1768,088","","","","analysis"
"High performance  Digital 12 channel 12 lead ECG/EKG MACHINE electrocardiograph hospital","  4104,490","4.9","5","""fast delivery""","analysis"
"Huali first aid trauma kit  supplies special style Shipped within 15 days first aid kit","  3,126","5.0","17","""reliable supplier""","Emergency"
"Hospital Portable  Emergency Equipment 7 Inch Screen 5-Lead ECG Defibrillator","  5304,264","4.8","4","""good service""","Emergency"
"Operation Table Manufacturers Hot Selling OR Operating Table/ Equipments/Hospital Instruments","  14299,412","","","","Emergency"
"Latex Free Elastic  Disposable Tourniquet","  0,1263","5.0","1","""good service""","Emergency"
"First Aid Spinning  Pre-Hospital Life Saving Hemorrhage Control Application Rescue Blood Tourniquet","  5,242","4.6","6","""efficient service""","Emergency"
"First Aid Supplies Amazon Good Price And Design Mini Individual Travel First Aid Kit Full  Household First Aid Kit With Supplies","  7,894","4.5","5","""fast shipping""","Emergency"
"first aid kit with emergency  supplies for outdoor survival use","  3,789","5.0","2","","Emergency"
"Fast Response Defibrillator AED Rescue Kit","  7,894","","","","Emergency"
"equipment Defi8 Defibrillator Monitor  Heart Shock  with ECG monitor","  4417,063","5.0","8","""Easy order""","Emergency"
"Manufacturing Waterproof Military Tactical Backpack Emergency  Rescue First Aid","  10,104","","","","Emergency"
"equipment breathing mouth adult hard case cpr mask  first aid cpr mask with one valve","  3,631","4.7","1","","Emergency"
"HF-8000A Automated External Defibrillator  EquipmentEmergency  Supplies & Training","  3946,625","4.9","11","""great service""","Emergency"
"2022  Manufacture Hot Sale First-aid  Travel Abs First-aid Bags","  9,472","4.7","26","""great service""","Emergency"
"portable infant resuscitator Pigeon T piece Neopuff Temporary Breathing","  3157,300","5.0","3","""fast transaction""","Emergency"
"ICU Bridge Electrical OT  Pendant Bridge    for  Supplies","  2210,110","5.0","1","""good service""","Emergency"
"Good Price    Wrap Tape Orthopedic Fiberglass Splint For Wound Dressing","  4,105","5.0","5","""Good service""","Emergency"
"Defi8 Defibrillator Monitor  Heart Shock  with ECG monitor","  8840,440","4.8","10","""good service""","Emergency"
"Wholesale  Portable  First Aid  Light Weight Folding Scoop Stretcher With Straps","  221,011","5.0","1","""good customer service""","Emergency"
"OEM   Emergency Survival Kit Box Metal First Aid Kit First-aid","  128,660","","","","Emergency"
"Abs Elastic Compression Adjustable  Tourniquet Band With Buckle","  0,0316","5.0","2","""fast delivery""","Emergency"
"Semi-automatic and Manual  AED Defibrillator for Ambulance","  4735,950","4.7","10","""Great customer service""","Emergency"
"rescue breathing CPR  bag for emergency situation","  182,429","4.9","6","""fast shipping""","Emergency"
"portable ecg  high quality ecg 6 channel ecg  for hospital and clinic","  1531,291","5.0","12","""excellent service""","Emergency"
"Huali  manufacture ifak  tactical first aid kit","  7,199","5.0","17","""reliable supplier""","Emergency"
"Ebola Negative Pressure Isolation Chamber Stretcher","  10513,809","4.8","11","""shipment on time""","Emergency"
"Outdoor Camping 31 In 1 Emergency  Supplies First Aid Case Waterproof First-aid   Box Portable Trauma Kit","  28,732","5.0","15","""customer service""","Emergency"
"Aspirator  Body Electric Vacuum Suction Machine","  378,876","4.9","8","""Fast Delivery""","Emergency"
"2022  Manufacture Hot Sale First-aid  Travel Abs First-aid Bags","","3.9","10","""customer service""","Emergency"
"First aid kit with complete  accessories, Necessary emergency  for school family and camping","","5.0","4","","Emergency"
"manufacturing customized waterproof aluminum  first aid case","  15,787","5.0","3","""Good service""","Emergency"
"Well prepared adventure   and grizzly kits for first responders","","4.8","52","""fast delivery""","Emergency"
"Defi8 Defibrillator Monitor  Heart Shock  with ECG monitor","  8208,980","","","","Emergency"
"CE Approved  equipment  Aed Trainer for AHA training","","","","","Emergency"
"Emergency Trauma Survival First Aid Kit Bags  Box First Aid Kit","","","","","Emergency"
"OEM customized pvc with  equipment products  kits 200 300 piece box first aid kit","  18,944","4.7","10","""Excellent supplier""","Emergency"
"Biphasic Low Energy Aed Defibrillator 50j for Kids 150j AED Automated External Defibrillator","  2683,705","","","","Emergency"
"manufacture multiparameter Monitor","  1326,066","5.0","8","""Easy order""","Emergency"
"Ready To Ship First aid  disposable manual surgical pneumatic tourniquet cuffEmergency Medi","  94,719","4.9","11","""great service""","Emergency"
"Portable Cardiac Defibrillator Monitor  Heart Shock  with ECG monitor","  8840,440","4.8","10","""good service""","Emergency"
"Best Selling Functional  Tourniquet  TPE Es march Bandage","  0,0632","5.0","2","""fast delivery""","Emergency"
"Outdoor Adventure Equipment Design Outdoor  Emergency Trauma Kit","  27,153","","","","Emergency"
"Hot Selling   Waterproof Rescue Large First Aid Kit Bags","  31,573","5.0","1","""good customer service""","Emergency"
